LUTHER COLLEGE, REGINA (107650061RR0001)
"Reporting Period","Donor Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2022,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",22000,0
2022,"ARLIN FOUNDATION","LANGLEY","BC",10000,0
2022,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5540,0
2022,"AQUEDUCT FOUNDATION","VANCOUVER","BC",2878,0
2022,"CANADAHELPS CANADON","TORONTO","ON",2317,0
2022,"SASKATCHEWAN SYNOD, EVANGELICAL LUTHERAN CHURCH IN CANADA INC.","SASKATOON","SK",528,0
2022,"UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO","OTTAWA","ON",520,0
2022,"ABUNDANCE CANADA","WINNIPEG","MB",300,0
2022,"THE EDMONTON COMMUNITY FOUNDATION PRIV ACT","EDMONTON","AB",269,0
2022,"SHEPHERD OF THE VALLEY LUTHERAN CHURCH","LUMSDEN","SK",250,0
2022,"UNITED WAY OF REGINA","REGINA","SK",20,0
2021,"THE TREE OF LIFE FOUNDATION INC.","REGINA","SK",85000,0
2021,"AQUEDUCT FOUNDATION","VANCOUVER","BC",80000,0
2021,"THE DILAWRI FOUNDATION","TORONTO","ON",50000,0
2021,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",40000,0
2021,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",30000,0
2021,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",11512,0
2021,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",10000,0
2021,"ARLIN FOUNDATION","LANGLEY","BC",9000,0
2021,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5360,0
2021,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",3000,0
2021,"CANADAHELPS CANADON","TORONTO","ON",1152,0
2021,"SASKATCHEWAN SYNOD, EVANGELICAL LUTHERAN CHURCH IN CANADA INC.","SASKATOON","SK",584,0
2021,"UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO","OTTAWA","ON",520,0
2021,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",11,0
2020,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",80000,0
2020,"THE DILAWRI FOUNDATION","TORONTO","ON",50000,0
2020,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",44902,0
2020,"AQUEDUCT FOUNDATION","VANCOUVER","BC",30000,0
2020,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",27000,0
2020,"ARLIN FOUNDATION","LANGLEY","BC",8565,0
2020,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",5500,0
2020,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5290,0
2020,"NATIONAL INDIAN BROTHERHOOD TRUST FUND","AKWESASNE","ON",4000,0
2020,"THE VIRDEN AREA FOUNDATION INC.","VIRDEN","MB",2500,0
2020,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",2000,0
2020,"CANADAHELPS CANADON","TORONTO","ON",1728,0
2020,"EVANGELICAL LUTHERAN CHURCH IN CANADA","WINNIPEG","MB",1000,0
2020,"UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO","OTTAWA","ON",520,0
2020,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",476,0
2020,"SASKATCHEWAN SYNOD, EVANGELICAL LUTHERAN CHURCH IN CANADA INC.","SASKATOON","SK",273,0
2020,"SHEPHERD OF THE VALLEY LUTHERAN CHURCH","LUMSDEN","SK",250,0
2019,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",100900,0
2019,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",74000,0
2019,"THE DILAWRI FOUNDATION","TORONTO","ON",50500,0
2019,"NATIONAL INDIAN BROTHERHOOD TRUST FUND","AKWESASNE","ON",36000,0
2019,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",4971,0
2019,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",3000,0
2019,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",2000,0
2019,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",2000,0
2019,"CANADAHELPS CANADON","TORONTO","ON",1632,0
2019,"SASKATCHEWAN SYNOD, EVANGELICAL LUTHERAN CHURCH IN CANADA INC.","SASKATOON","SK",1021,0
2019,"EVANGELICAL LUTHERAN CHURCH IN CANADA","WINNIPEG","MB",1000,0
2019,"SHEPHERD OF THE VALLEY LUTHERAN CHURCH","LUMSDEN","SK",250,0
2019,"CHIMP: Charitable Impact Foundation (Canada)","VANCOUVER","BC",50,0
2018,"CENTRAL EVANGELICAL LUTHERAN CHURCH OF REGINA","REGINA","SK",275000,0
2018,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",98000,0
2018,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",69000,0
2018,"THE DILAWRI FOUNDATION","TORONTO","ON",50000,0
2018,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",30000,0
2018,"RICK HANSEN FOUNDATION","RICHMOND","BC",24067,0
2018,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5352,0
2018,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",2000,0
2018,"CANADAHELPS CANADON","TORONTO","ON",1176,0
2018,"C&J EKONG CHARITABLE FOUNDATION INC.","REGINA","SK",600,0
2018,"SASKATCHEWAN SYNOD, EVANGELICAL CHURCH IN CANADA INC.","SASKATOON","SK",473,0
2018,"NEW HOPE LUTHERAN CHURCH INC.","REGINA","SK",298,0
2018,"CANADIAN NATIONAL CHRISTIAN FOUNDATION","OTTAWA","ON",250,0
2018,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",250,0
2018,"TRINITY EVANGELICAL LUTHERAN CHURCH OF REGINA, SASKATCHEWAN","REGINA","SK",200,0
2018,"CHIMP: Charitable Impact Foundation (Canada)","VANCOUVER","BC",50,0
2017,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",87000,0
2017,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",30000,0
2017,"LORNE AND EVELYN JOHNSON FOUNDATION","REGINA","SK",10000,0
2017,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5234,0
2017,"CANADAHELPS CANADON","TORONTO","ON",3102,0
2017,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",2000,0
2017,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",1500,0
2017,"EVANGELICAL LUTHERAN CHURCH IN CANADA","WINNIPEG","MB",1000,0
2017,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",1000,0
2017,"THE DILAWRI FOUNDATION","TORONTO","ON",500,0
2017,"TRINITY LUTHERAN CHURCH OF LEADER","LEADER","SK",50,0
2017,"SASKATCHEWAN SYNOD, EVANGELICAL CHURCH IN CANADA INC","SASKATOON","SK",0,645
2016,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",90000,0
2016,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",71500,0
2016,"LORNE AND EVELYN JOHNSON FOUNDATION","REGINA","SK",65000,0
2016,"THE DILAWRI FOUNDATION","TORONTO","ON",50000,0
2016,"CHARITABLE GIFT FUNDS CANADA FOUNDATION","KINGSTON","ON",30000,0
2016,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",4956,0
2016,"CANADAHELPS CANADON","TORONTO","ON",1939,0
2016,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",1400,0
2016,"EVANGELICAL LUTHERAN CHURCH IN CANADA","WINNIPEG","MB",1000,0
2016,"SUNCOR ENERGY FOUNDATION/FONDATION SUNCOR ENERGIE","CALGARY","AB",300,0
2016,"SASKATCHEWAN SYNOD, EVANGELICAL CHURCH IN CANADA INC","SASKATOON","SK",200,0
2015,"KUSISTO-SEXTON FOUNDATION INC.","REGINA","SK",109577,0
2015,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",60300,0
2015,"CANADIAN NATIONAL CHRISTIAN FOUNDATION","OTTAWA","ON",25000,0
2015,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",4914,0
2015,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",1180,0
2015,"EVANGELICAL LUTHERAN CHURCH IN CANADA","WINNIPEG","MB",1000,0
2015,"SUNCOR ENERGY FOUNDATION/FONDATION SUNCOR ENERGIE","CALGARY","AB",600,0
2015,"SASKATCHEWAN SYNOD, EVANGELICAL CHURCH IN CANADA INC","SASKATOON","SK",23,0
